#{"t_start": 1762627281.2117, "env_id": "LunarLander-v3"}
r,l,t
-98.207898,109,0.12044
-155.179079,87,0.167898
-159.992819,89,0.232235
-294.496121,106,0.299206
-132.384058,103,0.358015
-316.650948,116,0.421679
-154.108055,60,0.453646
-120.128434,109,0.512485
-296.191105,96,0.571086
-17.296005,62,0.604593
-143.980029,86,0.647742
-231.387859,146,1.200988
-127.496319,74,1.243143
-86.926723,75,1.283783
-86.788064,95,1.330744
-70.588092,79,1.368721
-102.987019,81,1.406388
-121.840169,100,1.453503
-361.826977,113,1.507293
-113.487542,73,1.542337
-378.108923,87,1.58797
-11.519043,134,2.13595
-130.337744,108,2.196422
-353.189631,134,2.277391
-113.661933,89,2.328081
-179.476327,130,2.405123
-129.361045,92,2.458093
-163.616808,97,2.510754
-68.816596,68,2.547415
-79.039162,71,2.591295
-142.910783,94,2.641429
-117.830771,85,2.688461
-86.304392,81,3.377753
-78.909727,84,3.441892
-403.802913,103,3.512104
-81.55674,110,3.580503
-179.109015,138,3.658669
-85.585191,76,3.699656
-119.958331,100,3.771385
-98.306516,92,3.866257
-180.394099,110,3.927002
-271.990892,113,4.110996
-129.768926,92,4.759517
-383.717989,139,4.840302
-20.46146,75,4.879195
-66.093008,85,4.922609
-299.168735,91,4.965502
-244.670059,144,5.036465
-83.921024,73,5.072649
-283.546106,156,5.153633
-175.1502,93,5.233976
-98.448488,74,5.294424
-265.795095,136,6.286783
-207.983124,105,6.351597
-64.385954,88,6.399408
-174.062627,96,6.466086
-112.245817,93,6.568509
-94.321048,98,6.816854
-89.661113,64,6.873179
-183.570696,83,6.951493
-116.618191,112,7.069567
-54.785386,77,7.139199
-147.704201,155,7.84512
-480.219521,150,7.95272
-181.903926,111,8.030921
-239.507466,104,8.100298
-64.490876,145,8.201082
-81.458367,68,8.251984
-187.654569,89,8.333077
-234.120615,86,8.582937
-75.840911,177,8.878586
-71.114837,61,9.627373
-93.482453,84,9.688939
-55.126542,76,9.745305
-21.543302,75,9.800757
-76.056792,74,9.853296
-35.340982,101,9.920603
-138.352459,123,9.997351
-179.820012,109,10.097557
-210.085847,113,10.15509
-100.354365,95,10.290388
-329.210075,157,10.374194
-81.91461,93,11.014363
44.482277,121,11.106428
-250.107863,133,11.228884
-415.937076,134,11.354063
-398.437908,165,11.563281
-171.602751,192,11.834718
-134.532646,105,11.955108
-112.8692,105,12.603973
-287.281445,148,12.706284
-251.788984,103,12.782446
-122.74018,86,12.867122
-156.027049,124,12.956753
-68.725483,90,13.005973
-13.674431,77,13.043622
-226.022736,147,13.137087
-87.638786,103,13.199482
-84.494391,136,13.942404
-136.365366,144,14.01683
-243.876771,125,14.079139
-41.428912,181,14.174833
-98.016853,84,14.232611
-256.075318,224,14.403932
-118.26185,114,14.464601
-256.805107,168,15.156674
-205.970851,242,15.315688
-303.553162,132,15.380356
-236.03715,141,15.448465
-255.270379,219,15.562716
-69.341419,184,15.65698
-61.091004,148,16.224066
-44.272647,270,16.357542
-224.857995,159,16.434163
-61.922667,95,16.477952
-112.683944,141,16.543778
4.352895,105,16.592662
-335.140962,146,16.665986
-201.684708,189,17.29979
-243.287092,151,17.380935
-178.316415,153,17.463258
-508.657251,250,17.591823
-276.320447,164,17.679314
-213.047756,154,17.763047
-259.29784,159,18.377037
-62.807169,128,18.447453
-337.017778,132,18.517162
-160.812595,120,18.575554
-280.913877,113,18.62889
-55.138467,141,18.855132
-93.768624,154,19.018251
-90.847524,196,19.64194
-96.443915,90,19.685476
-46.38987,265,19.8073
-248.613069,154,19.880823
-206.718128,127,19.939668
-114.197317,112,20.004814
-248.643878,569,20.931133
-264.888065,154,21.006892
-294.366876,363,21.17598
-60.455781,127,21.744491
-221.84206,112,21.810936
-110.095526,148,21.895347
-187.951413,161,21.984034
-227.832289,119,22.058324
-205.682184,239,22.178005
-69.602706,182,22.402355
-50.312455,138,22.999403
-161.155714,442,23.225481
-142.365505,127,23.2903
-125.451443,199,23.391236
-113.312735,138,23.457093
-57.501221,143,23.861855
-139.829459,228,23.97726
-55.352286,98,24.019477
-35.29553,197,24.102646
-54.660456,208,24.188278
-187.716443,132,24.243284
-244.007757,101,24.620382
-83.254281,187,24.69819
-62.519366,102,24.743866
-26.011544,153,24.804699
-20.370852,105,24.845874
-137.590554,173,24.916257
-13.006795,236,25.019237
5.749982,97,25.388373
-160.394407,124,25.445192
-37.880493,167,25.521612
-62.114,131,25.572235
-37.025115,123,25.62017
-43.444189,172,25.686383
-102.133627,94,25.722185
-37.861572,96,25.762837
-50.464076,179,26.174399
-45.735897,216,26.26335
-174.634798,131,26.318279
0.560517,177,26.392169
18.366079,155,26.460786
-235.250162,211,26.944335
-58.746098,167,27.020268
-7.018977,118,27.072565
5.582987,108,27.120066
-166.293746,151,27.179583
17.33343,107,27.222734
-21.093153,147,27.283757
-29.856698,152,27.347128
-53.478817,140,27.746512
-8.668002,143,27.812195
26.954008,211,27.902689
-68.819737,202,27.98472
-34.859851,235,28.088702
