#{"t_start": 1762631490.50464, "env_id": "LunarLander-v3"}
r,l,t
-194.263869,114,0.125785
-142.163932,70,0.167385
-438.083441,99,0.220407
-18.898095,61,0.260888
-93.895635,54,0.294708
-234.025504,98,0.346501
-330.755919,79,0.388186
-250.454292,92,0.435688
-133.243095,91,0.488901
-95.548258,73,0.533033
-103.53096,69,0.575778
-109.957111,69,0.623342
-186.03993,97,1.332618
-167.554248,95,1.381218
-97.97941,60,1.412518
-143.90832,62,1.442901
-146.258399,95,1.50223
-254.762878,115,1.573546
-182.16924,78,1.614558
-170.323972,114,1.673008
-269.352053,110,1.739609
-132.365702,62,1.781658
-137.374449,82,1.830742
-145.768025,64,1.882837
-140.118386,83,2.793176
-195.521735,104,2.848341
-331.276839,115,2.907227
-150.996834,96,2.956268
-262.290113,124,3.025468
-96.601883,76,3.065587
-108.891202,80,3.127279
-59.988478,83,3.218931
-452.653494,85,3.301667
-195.720512,118,3.483847
-103.840127,114,4.345058
-223.036421,124,4.415487
-304.210697,125,4.482185
-263.734386,75,4.526895
-158.296073,119,4.60208
-397.15725,95,4.682254
-70.981199,165,4.808779
-125.743876,82,4.98325
-330.262064,149,5.134716
-197.294759,109,5.892368
-100.059413,75,5.930221
-149.966051,109,5.989123
-240.137243,81,6.032119
-205.467641,97,6.092779
-85.989744,70,6.129748
-238.894482,134,6.205027
-352.509243,106,6.26917
-89.787098,99,6.328706
-150.758816,63,6.364516
-326.240575,106,6.516287
-82.972749,64,7.194456
-268.644786,120,7.257133
-55.577144,94,7.306108
-64.739646,63,7.339777
-97.522465,66,7.374859
-193.017224,146,7.447745
-206.553922,108,7.501754
-115.434544,105,7.554522
-290.707998,110,7.626016
-279.338705,123,7.737097
-74.055904,72,7.783084
-357.710959,163,8.563196
-210.80824,82,8.604643
-349.237548,64,8.637944
-99.220873,77,8.677673
-204.215201,132,8.745217
-203.390373,121,8.806282
-172.757124,134,8.882247
-248.893558,92,8.935805
-479.038676,151,9.020404
-25.448998,86,9.788364
-221.695636,83,9.831104
-279.306207,145,9.903812
-215.406933,109,9.957178
-57.147003,94,10.004074
-230.761306,128,10.069461
-38.885932,113,10.164853
-106.928564,113,10.251113
-279.352047,90,10.305772
-58.741127,111,11.121768
-373.568652,126,11.186225
-51.456778,135,11.254787
-259.494934,121,11.316331
-122.426435,101,11.367886
-123.231992,99,11.417294
-115.045616,91,11.461992
-64.479196,76,11.505153
-87.8013,113,11.575851
-165.076059,130,11.651863
-281.959246,98,12.402985
-380.547539,141,12.472201
-375.531352,114,12.530649
-163.205752,111,12.586035
-94.87782,120,12.647061
-364.560803,137,12.716118
-146.501726,85,12.786729
-73.520856,122,12.887649
-46.807864,118,13.688693
-497.498951,123,13.750975
-101.774151,113,13.807144
-108.288688,98,13.856933
-98.495796,87,13.89982
-65.337919,101,13.952492
-97.735669,114,14.010972
-161.797979,96,14.062354
-100.435815,70,14.099965
-156.196353,99,14.154771
-133.667431,72,14.196642
-248.07366,101,14.974059
-88.828972,71,15.024536
-133.094889,129,15.105023
-25.646142,75,15.1442
-96.365728,95,15.192594
-41.753567,115,15.252722
-156.39602,1000,16.52003
-77.452069,79,16.558839
-104.834285,95,16.604641
-228.363017,100,16.654826
-80.286532,73,16.689748
-68.770175,63,16.729129
-136.596591,73,16.769742
-123.941479,69,17.426609
-139.916657,84,17.466278
-150.733721,92,17.51125
-227.518984,140,17.576974
-28.859751,67,17.610469
-134.900749,105,17.660552
-131.824357,115,17.715924
-251.988059,134,17.781454
-163.037682,123,17.852243
-177.313194,103,17.951406
-40.026816,113,18.710989
-98.736658,135,18.776433
-106.688593,96,18.825064
-100.229684,70,18.861372
-188.950176,137,18.929108
-46.729064,87,18.970011
-120.497573,89,19.01459
-45.271146,99,19.069319
-37.994718,89,19.119713
-47.900047,92,19.169936
-167.111693,109,19.905133
-109.962553,97,19.952799
-206.891789,82,19.99581
-249.460948,127,20.05684
-286.5084,114,20.113004
-239.388625,129,20.176165
-105.362624,67,20.20894
-130.022024,149,20.331532
-16.076676,127,20.410342
-54.389384,88,21.117509
-50.755593,99,21.165226
-190.611553,112,21.21803
-52.333201,72,21.253528
-84.697371,138,21.319536
-55.162774,96,21.365921
-151.349838,168,21.446554
-325.972306,150,21.517314
-204.569144,168,22.263613
-197.914364,89,22.305809
-35.369069,103,22.35531
-83.391534,111,22.408545
-218.129738,154,22.482313
-209.470052,147,22.551738
-273.729139,163,22.631993
-46.63378,102,22.725671
-229.723184,140,23.532081
-50.740119,108,23.594948
-112.526708,80,23.634143
-110.462387,107,23.698664
-45.898797,129,23.770665
-39.836953,77,23.810999
-147.873453,113,23.875784
-83.071933,90,23.928207
-25.122534,139,24.010867
-84.469641,91,24.15782
-87.060962,128,24.824516
-208.812992,123,24.884683
-312.495733,116,24.941999
-171.633575,133,25.007969
-125.650665,149,25.080572
-283.561655,155,25.156581
-202.350514,183,25.249307
-354.651053,116,25.358061
-79.568737,97,26.031901
-104.208419,84,26.075803
-114.75634,111,26.131167
-330.331171,119,26.190202
-78.769327,75,26.226361
-13.810646,97,26.275651
-226.128741,155,26.352707
-100.426562,123,26.424754
-275.281205,167,27.293792
-172.796468,112,27.357977
-167.970718,169,27.442863
-100.830829,143,27.51692
-193.858365,184,27.619589
-159.940516,114,27.736072
-20.485551,101,27.797118
-82.745219,155,27.976694
-45.950752,114,28.711839
-183.382588,228,28.826893
-62.391022,165,28.914129
-206.342547,235,29.065377
-10.421977,161,29.168211
-92.836823,113,29.373056
-140.627862,256,30.162051
-264.727426,162,30.243293
-216.054021,152,30.319927
-206.120113,159,30.398455
-186.70566,195,30.551413
-92.66287,136,30.636026
-94.284084,117,31.400689
-54.948061,147,31.47404
-34.091134,109,31.528262
-92.252377,146,31.599232
-40.615783,99,31.648847
-87.376044,91,31.696578
-110.360891,108,31.758963
-127.015115,164,31.851075
-28.185401,145,32.677893
-61.238195,148,32.751129
-242.65869,233,32.865086
-273.631102,216,32.968777
-74.518602,121,33.044789
-175.196491,114,33.151298
-85.914892,286,33.984328
-71.193777,102,34.034622
-167.285844,163,34.116929
-12.931903,132,34.184317
-57.060595,196,34.283974
-106.883758,174,34.385057
-22.891895,191,35.210188
-5.654751,120,35.267132
-60.326973,208,35.366521
-62.103635,151,35.440925
-88.942739,138,35.554736
-156.409891,114,35.63644
-14.90045,124,35.787471
-239.104198,185,36.46678
-112.112559,192,36.561058
-268.588432,236,36.678099
-80.494187,196,36.777932
-135.795616,244,36.913629
-42.140741,182,37.626177
-88.851308,112,37.682214
-119.496648,149,37.755746
-141.975693,121,37.816053
-54.159918,206,37.916655
-72.300521,130,38.124928
-264.564429,269,38.899293
-73.114935,213,39.002643
-109.621359,134,39.070445
-115.945662,256,39.199019
-236.720981,172,39.283444
-177.788021,198,40.097451
-182.464915,190,40.188767
-53.507808,197,40.282434
-102.050032,164,40.363794
-158.110456,266,40.563458
-69.849126,231,41.317541
-111.050434,217,41.420328
-19.832803,107,41.471568
-84.662771,225,41.579134
-33.94207,217,41.681769
-213.822141,776,42.663302
-135.776036,1000,44.014133
-62.637277,231,44.131178
-140.709252,142,44.212995
-194.39384,250,45.073121
-202.343112,102,45.124439
-225.192899,150,45.196323
-241.778522,267,45.327835
-226.787846,150,45.463755
-12.148058,1000,46.704144
-143.101633,1000,48.006251
-70.151341,235,48.892478
-85.172591,162,48.972632
-213.6239,180,49.060231
-138.945294,162,49.141183
-144.236961,178,49.228174
9.564175,159,49.320511
-24.97546,207,50.178537
-44.771525,168,50.259384
-126.986933,175,50.344061
1.576491,160,50.423219
-178.288593,176,50.513278
-114.798411,1000,51.796401
14.747893,1000,53.037214
-14.701721,1000,54.337432
-104.884786,192,54.444639
-76.750616,191,55.289354
-30.184022,161,55.369851
5.750848,154,55.444974
21.655614,144,55.517245
-75.643894,171,55.602894
-5.513169,184,55.707427
-34.083055,194,55.819765
-72.837874,188,56.601215
-18.916119,176,56.688154
-71.082543,1000,58.017468
-31.590451,179,58.105599
79.734085,1000,59.446319
-101.364688,213,59.656209
-46.713733,263,59.883331
-91.028301,224,60.582526
-30.943796,227,60.69343
-69.703824,227,60.807677
-2.054114,1000,61.970775
-34.784816,220,62.102919
-89.126958,166,62.236671
-33.697548,229,63.102008
-199.967295,171,63.185918
34.298417,1000,64.463721
-28.744357,215,64.570985
-100.275076,212,64.748156
-55.958525,1000,65.936046
-22.778639,261,66.069336
-97.111142,311,66.843776
-259.692435,622,67.159781
-145.566667,294,68.039671
-172.448694,305,68.190732
-61.539849,1000,69.409961
-161.297143,401,69.613942
-216.654865,519,70.517698
-149.490942,339,70.675078
32.763036,1000,71.996017
-204.833165,428,73.266501
-100.187052,418,73.47283
-140.734887,248,73.62276
-43.92595,246,73.882897
43.662723,1000,75.099855
60.247854,1000,76.434436
-115.449127,291,77.259559
-188.528019,439,77.476328
54.422803,1000,78.724095
-232.735168,491,79.765883
16.194995,1000,81.026357
-195.50457,810,81.505
-69.244164,1000,82.701209
-150.233977,212,83.432505
89.632571,651,83.767217
-154.3915,415,84.927823
-82.779187,325,85.099182
-88.576168,357,85.412059
-328.636602,295,86.134668
131.432798,492,86.373342
-46.719362,425,86.578426
-206.011221,555,87.589036
-119.824258,396,87.903733
94.18312,972,89.161432
-113.596702,511,90.2685
-137.855205,586,90.566023
85.674596,577,91.56881
-50.540093,850,92.720545
120.763447,631,93.023638
155.903303,539,93.958356
-45.723521,241,94.073459
93.410907,672,95.124915
-53.361605,391,95.310142
69.71224,772,96.252445
102.660171,688,97.339782
66.12689,705,97.685903
140.274595,650,98.611998
105.535804,700,99.657543
37.954178,842,100.16726
111.336381,598,101.208809
130.597459,695,102.332552
-24.198858,239,102.454142
-195.062442,1000,103.571897
72.754911,686,104.689591
-23.313265,1000,105.951767
-187.016835,1000,107.119939
-15.442574,955,107.595671
-125.127726,1000,108.762354
-262.898879,863,110.03766
-170.533441,1000,111.28959
-200.518078,1000,112.480465
142.202053,640,113.577553
-147.966076,1000,114.801552
